Time	dt	Velocity Autocorrelation Function	Velocity Autocorrelation Function delta	Diffusivity	Diffusivity delta
0.0000000000	0.0005657614	0.9865769148	0.9865769148	0.0001395418	0.0002790836
0.0005657614	0.0014289871	0.9826312661	0.9865769148	0.0008430351	0.0016860701
0.0019947485	0.0004851822	0.9812327623	0.9865769148	0.0010812430	0.0021624860
0.0024799307	0.0013376961	0.9802270532	0.9865769148	0.0017372023	0.0034744046
0.0038176268	0.0022471967	0.9800704718	0.9865769148	0.0028384959	0.0056769917
0.0060648235	0.0010513640	0.9743190408	0.9865769148	0.0033521894	0.0067043790
0.0071161875	0.0029831804	0.9726655483	0.9865769148	0.0048042410	0.0096084822
0.0100993679	0.0011118666	0.9713166952	0.9865769148	0.0053446032	0.0106892066
0.0112112345	0.0012256830	0.9707783461	0.9865769148	0.0059397016	0.0118794031
0.0124369175	0.0040626711	0.9564775825	0.0300993323	0.0078971535	0.0155152230
0.0164995886	0.0023753162	0.9492781758	0.0333530903	0.0090288464	0.0163716227
0.0188749048	0.0001675481	0.9489703774	0.0322623849	0.0091083581	0.0160542308
0.0190424529	0.0004899628	0.9483317137	0.0318953395	0.0093407603	0.0152071159
0.0195324157	0.0010634907	0.9416190386	0.0384514332	0.0098432461	0.0140095014
0.0205959064	0.0001538372	0.9371757507	0.0371432900	0.0099155037	0.0131266283
0.0207497436	0.0000831952	0.9357011318	0.0369644165	0.0099544572	0.0103004324
0.0208329388	0.0030102669	0.9355810285	0.0357356668	0.0113627221	0.0120362372
0.0238432057	0.0005326760	0.9307164550	0.0400618911	0.0116112549	0.0113431068
0.0243758817	0.0004272688	0.9301347136	0.0263428688	0.0118100261	0.0078257451
0.0248031505	0.0002462447	0.9280871749	0.0211910009	0.0119244205	0.0057911475
0.0250493952	0.0019547849	0.9246170521	0.0243533254	0.0128298299	0.0074429427
0.0270041801	0.0001646289	0.9231885672	0.0251431465	0.0129058799	0.0071302400
0.0271688090	0.0000318926	0.9233101010	0.0184304714	0.0129206022	0.0061547123
0.0272007016	0.0025362515	0.9208967686	0.0162789822	0.0140899457	0.0083488842
0.0297369531	0.0004951613	0.9191519618	0.0165491700	0.0143177258	0.0087265374
0.0302321144	0.0000818505	0.9192057252	0.0164290667	0.0143553438	0.0059852434
0.0303139649	0.0014279550	0.9140201807	0.0166962743	0.0150097851	0.0067970595
0.0317419199	0.0020438951	0.9113502502	0.0187844634	0.0159425009	0.0082649505
0.0337858150	0.0016155457	0.9103438258	0.0177433491	0.0166782588	0.0095076769
0.0354013607	0.0025741410	0.9071511030	0.0174659491	0.0178478807	0.0100361018
0.0379755017	0.0001627273	0.9060838223	0.0172262788	0.0179216471	0.0100315322
0.0381382290	0.0014893874	0.8989077210	0.0244023800	0.0185937285	0.0113462532
0.0396276164	0.0001268092	0.8977265954	0.0231701732	0.0186506864	0.0091214819
0.0397544256	0.0003827526	0.8971090317	0.0220966935	0.0188224316	0.0090094104
0.0401371782	0.0004739371	0.8951132298	0.0240924954	0.0190347806	0.0093588754
0.0406111153	0.0005463256	0.8903642297	0.0236559510	0.0192786437	0.0085377194
0.0411574408	0.0004127266	0.8901207447	0.0212295055	0.0194623582	0.0070397133
0.0415701675	0.0000077810	0.8877189755	0.0226248503	0.0194658153	0.0055751150
0.0415779484	0.0037646264	0.8866721392	0.0204789639	0.0211357959	0.0065758307
0.0453425749	0.0010338138	0.8859114051	0.0201724172	0.0215939265	0.0073445599
0.0463763887	0.0015676221	0.8833069801	0.0156007409	0.0222872924	0.0073871271
0.0479440108	0.0020747695	0.8782064915	0.0195201039	0.0232009757	0.0091005794
0.0500187803	0.0005888416	0.8717329502	0.0253760815	0.0234585851	0.0092723090
0.0506076220	0.0003108054	0.8688843250	0.0262289047	0.0235938337	0.0091181054
0.0509184274	0.0033534929	0.8611409068	0.0292233229	0.0250442401	0.0115311930
